hT,FEV,Side
2.4,28.85,3798
2.6,25.85,3595
2.8,22.98,3390
3,20.19,3177
3.2,17.46,2955
3.4,14.83,2723
3.6,12.49,2499
3.8,10.35,2275
4,8.33,2041
4.2,6.43,1793
4.4,4.68,1530
4.6,3.1,1244
4.8,1.72,926
5,0.63,562
5.2,0.01,74
